discount_in_percent,price_regular,month,special_days,avg_yearly_household_income_2017,avg_population_2017,sku,agency,time_idx,price_close,price_high,price_low,price_open,active-addresses,addresses-in-loss,addresses-in-profit
1,1,w,1,1,1,1,a,0,511.099,534.197,500.25,532.074,298025,6989385,5856485
1,1,w,1,1,1,1,a,1,503.169,518.031,502.564,511.147,318108,7144029,5758049
1,1,w,1,1,1,1,a,2,524.257,525.092,502.894,503.169,303442,6821968,6128878
1,1,w,1,1,1,1,a,3,567.475,567.475,523.262,524.789,336554,6471925,6541816
1,1,w,1,1,1,1,a,4,615.765,618.715,560.283,567.889,353036,6190086,6885675
1,1,w,1,1,1,1,a,5,603.808,621.888,578.55,615.765,362104,6342029,6813797
1,1,w,1,1,1,1,a,6,622.043,640.767,593.869,605.395,375269,6189541,7031786
1,1,w,1,1,1,1,a,7,643.168,646.7,621.035,622.043,398853,6048108,7222778
1,1,w,1,1,1,1,a,8,707.623,708.875,642.548,642.548,397119,5441722,7890292
1,1,w,1,1,1,1,a,9,612.7,708.158,600.212,708.158,352729,6604112,6776390
1,1,w,1,1,1,1,a,10,663.181,663.181,604.007,615.416,347314,6029461,7398519
1,1,w,1,1,1,1,a,11,647.032,684.868,647.032,662.809,329409,6230022,7243206
1,1,w,1,1,1,1,a,12,683.548,691.442,644.646,647.032,334905,5852803,7662482
1,1,w,1,1,1,1,a,13,689.401,697.756,670.513,683.678,309662,5762989,7791016
1,1,w,1,1,1,1,a,14,669.75,694.439,666.117,688.881,349845,6231666,7363279
1,1,w,1,1,1,1,a,15,674.192,674.403,637.54,669.924,316590,6126126,7512512
1,1,w,1,1,1,1,a,16,686.532,688.842,667.42,673.613,352782,5810042,7871600
1,1,w,1,1,1,1,a,17,781.437,784.341,686.591,687.149,384820,4501078,9233103
1,1,w,1,1,1,1,a,18,784.908,803.746,762.632,779.543,636842,4522961,9255032
1,1,w,1,1,1,1,a,19,815.89,827.455,784.237,785.624,386029,4237102,9592344
1,1,w,1,1,1,1,a,20,793.046,835.057,764.883,816.12,365220,4554369,9345275
1,1,w,1,1,1,1,a,21,751.327,795.758,710.178,792.311,387600,5084944,8874171
1,1,w,1,1,1,1,a,22,754.139,774.249,728.129,753.725,392906,5068084,8954953
1,1,w,1,1,1,1,a,23,751.736,759.529,718.472,752.857,380628,5091143,9006743
1,1,w,1,1,1,1,a,24,726.664,766.748,726.664,752.275,377753,5835772,8323810
1,1,w,1,1,1,1,a,25,680.712,736.977,669.825,727.277,378266,6867154,7349477
1,1,w,1,1,1,1,a,26,685.96,691.411,644.066,679.586,362743,6667959,7613186
1,1,w,1,1,1,1,a,27,734.488,741.312,675.319,686.048,347440,5537414,8807474
1,1,w,1,1,1,1,a,28,731.692,742.17,695.792,733.496,384986,5629792,8766546
1,1,w,1,1,1,1,a,29,709.902,739.052,700.995,730.549,390493,6253436,8198198
1,1,w,1,1,1,1,a,30,707.05,710.2,682.541,708.871,401754,6294290,8223946
1,1,w,1,1,1,1,a,31,672.657,718.833,668.834,707.05,402182,7487370,7107399
1,1,w,1,1,1,1,a,32,693.997,695.031,663.809,672.657,402564,6699049,7975781
1,1,w,1,1,1,1,a,33,696.275,715.578,686.791,694.367,400723,6659657,8103330
1,1,w,1,1,1,1,a,34,715.756,723.753,692.669,696.53,370323,5975238,8848701
1,1,w,1,1,1,1,a,35,699.735,719.278,692.494,715.369,385610,6693965,8193798
